,sample,sampleType,fishID,site,weight.g,length.cm,gutWeight.g,sex,wild_or_F2,fishType,extractionID,LF1_RF1,RF1_strength,LF1_IR1,IR1_strength,genotype,pcrGenotypeDate,sequencingRun,notes,reads.in,reads.out,derepF,derepR,merged,nochim,prop.retained,chl_abundance,is.neg
KLF_29,KLF_29,gut,29,Scorton Creek,4.1277,7,0.2874,M,wild,Scorton Creek wild,29,0,none,1,faint,intact,3/12/21,Run1,,143942,112765,112636,112652,111917,111220,0.77267232635367,0.000269735659054127,FALSE
KLF_18,KLF_18,gut,18,Scorton Creek,1.2576,4.4,0.1232,M,wild,Scorton Creek wild,18,0,none,1,bright,intact,3/12/21,Run1,,124538,98620,98487,98469,96980,95658,0.768102908349259,9.40851784482218e-05,FALSE
KLF_47,KLF_47,gut,47,New Bedford Harbor,3.357,6.5,0.3209,M,wild,New Bedford Harbor wild,47,0,none,1,very faint,homo,8/24/21,Run1,,83295,55926,55790,55790,51779,50514,0.606446965604178,0.0102545828879123,FALSE
KLF_14,KLF_14,gut,14,Scorton Creek,1.611,5.3,0.0904,M,wild,Scorton Creek wild,14,1,bright,1,bright,het,3/12/21,Run1,,123968,96358,95688,95680,94030,92838,0.748886809499226,0.00286520605786424,FALSE
KLF_23,KLF_23,gut,23,Scorton Creek,3.4151,6.8,0.1423,M,wild,Scorton Creek wild,23,1,bright,1,bright,het,3/12/21,Run1,,134075,104045,103939,103733,102158,99461,0.741831064702592,0.0018901881139341,FALSE
KLF_238,KLF_238,gut,238,New Bedford Harbor,4.498,5.8,0.199,F,F2,New Bedford Harbor F2,,1,faint,1,very faint,het,8/25/21,Run2,,169562,147200,146942,147018,145551,143927,0.848816362156615,0.0777616430551599,FALSE
KLF_78,KLF_78,gut,78,New Bedford Harbor,2.174,6,0.1128,M,wild,New Bedford Harbor wild,78,1,medium,1,medium,het,3/12/21,Run1,,118956,93872,92567,92437,90475,88202,0.741467433336696,0.00278905240243985,FALSE
KLF_56,KLF_56,gut,56,New Bedford Harbor,2.787,6.1,0.1061,M,wild,New Bedford Harbor wild,56,1,medium,1,bright,het,3/12/21,Run1,,91178,73992,73654,73671,73127,72971,0.800313672157757,0.00738649600526236,FALSE
KLF_48,KLF_48,gut,48,New Bedford Harbor,3.927,6.9,0.3298,M,wild,New Bedford Harbor wild,48,1,medium,1,medium,het,3/11/21,Run1,,112608,88157,86659,86524,84417,83935,0.745373330491617,0.00569488294513612,FALSE
KLF_236,KLF_236,gut,236,New Bedford Harbor,3.122,5,0.214,F,F2,New Bedford Harbor F2,,1,bright,0,none,homo,8/25/21,Run2,,119353,104143,103914,103900,102997,102194,0.856233190619423,0.0767755445525178,FALSE
