	Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxonomy
ASV1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	g:Enterococcus
ASV2	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	NA	NA	f:Vibrionaceae
ASV3	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA	g:Mycoplasma
ASV5	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	g:Vibrio
ASV8	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	g:Vibrio
ASV10	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	NA	NA	f:Mycoplasmataceae
ASV11	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA	g:Mycoplasma
ASV12	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	g:Tyzzerella
ASV13	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	NA	g:Vibrio
ASV14	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	formosensis/garvieae	Lactococcus formosensis/garvieae
ASV15	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	perfringens/thermophilus	Clostridium_sensu_stricto_1 perfringens/thermophilus
ASV16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	NA	g:Weissella
ASV17	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	NA	NA	f:Vibrionaceae
ASV18	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA	g:Aliivibrio
ASV20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	NA	g:Escherichia/Shigella
ASV22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	intermedius	Lactobacillus intermedius
ASV23	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA	g:Aliivibrio
ASV24	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA	f:Desulfovibrionaceae
ASV25	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	g:Bacillus
ASV26	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA	g:Mycoplasma
ASV27	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Marinobacterium	NA	g:Marinobacterium
ASV28	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas	kaikoae/marina	Psychromonas kaikoae/marina
ASV29	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	meningitidis	Neisseria meningitidis
ASV30	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivita	NA	g:Marivita
ASV31	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	parasuis/suis	Streptococcus parasuis/suis
ASV33	Bacteria	Spirochaetota	Brevinematia	Brevinematales	Brevinemataceae	Brevinema	NA	g:Brevinema
ASV34	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus	NA	g:Catenococcus
ASV35	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	NA	g:Listeria
ASV37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	mutans	Streptococcus mutans
ASV38	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	g:Acinetobacter
ASV40	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	NA	g:Clostridium_sensu_stricto_1
ASV41	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	pylori	Helicobacter pylori
ASV42	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	NA	g:Aliivibrio
ASV43	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	NA	g:Photobacterium
ASV44	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	panuliri/ponticus	Vibrio panuliri/ponticus
ASV45	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	garvieae/lactis	Lactococcus garvieae/lactis
ASV46	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	damselae	Photobacterium damselae
ASV47	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Candidatus_Bacilloplasma	NA	g:Candidatus_Bacilloplasma
ASV48	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	radiodurans	Deinococcus radiodurans
ASV49	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	g:Pseudomonas
ASV50	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	NA	g:Clade_Ia
ASV52	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	NA	g:Ascidiaceihabitans
ASV53	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	NA	NA	f:Mycoplasmataceae
ASV54	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus	Bacteroides vulgatus
