"reads.in"	"reads.out"	"derepF"	"derepR"	"merged"	"nochim"
"KLF_29"	143942	112765	112636	112652	111917	111220
"KLF_18"	124538	98620	98487	98469	96980	95658
"KLF_47"	83295	55926	55790	55790	51779	50514
"KLF_14"	123968	96358	95688	95680	94030	92838
"KLF_23"	134075	104045	103939	103733	102158	99461
"KLF_238"	169562	147200	146942	147018	145551	143927
"KLF_78"	118956	93872	92567	92437	90475	88202
"KLF_extraction_Ctrl_1"	247300	197852	197119	196882	189979	189468
"KLF_56"	91178	73992	73654	73671	73127	72971
"KLF_48"	112608	88157	86659	86524	84417	83935
"KLF_236"	119353	104143	103914	103900	102997	102194
"KLF_32"	154657	121676	121311	121330	119086	112667
"KLF_202"	152463	129982	129858	129863	129273	128888
"KLF_214"	219805	180468	180328	180245	177432	175722
"KLF_212"	128567	108600	108482	108523	108269	108090
"KLF_extraction_Ctrl_2"	279158	214378	213355	214073	206029	205588
"KLF_12"	131286	96175	95907	96064	95626	95395
"KLF_227"	121201	104681	104288	104356	102174	98629
"KLF_114"	81794	67967	67815	67782	67322	67300
"KLF_SC_water_1"	143788	110429	106134	106179	100821	93139
"KLF_52"	105283	87268	86276	86276	84789	84490
"KLF_19"	122984	100254	100070	100023	98183	95487
"KLF_58"	106478	88505	87286	87391	83167	78493
"KLF_234"	124748	106508	106388	106437	105532	105468
"KLF_105"	148810	126057	125914	125953	125427	125119
"KLF_Mock2"	803242	614767	613156	613344	569395	529558
"KLF_51"	62288	49650	49003	48991	48120	48120
"KLF_107"	135341	115099	114983	114988	114320	113227
"KLF_26"	115958	91811	91699	91624	90641	89741
"KLF_75"	105355	83396	79787	79899	76222	74241
"KLF_37"	143582	109805	109538	109458	107728	100608
"KLF_235"	72754	63831	63680	63740	62790	61409
"KLF_209"	106102	88092	87945	87976	87265	86715
"KLF_205"	78740	66384	66272	66285	65855	65553
"KLF_35"	158973	126613	126170	125896	102187	99116
"KLF_43"	109175	82624	81598	81545	80234	79274
"KLF_110"	78594	66975	66869	66856	66627	66267
"KLF_extraction_Ctrl_4"	56985	41577	41351	41517	40802	40802
"KLF_22"	110163	85909	85729	85694	84684	84008
"KLF_54"	87893	75936	75287	75298	73635	70959
"KLF_71"	121516	94801	93154	93293	90578	88998
"KLF_222"	120733	103500	103284	103425	102890	102587
"KLF_103"	112899	96940	96730	96691	95812	94810
"KLF_1"	145010	113475	113131	113100	111305	109186
"KLF_neg"	4744	2363	2343	2336	2177	2177
"KLF_21"	129839	103026	102920	102910	101920	101195
"KLF_5"	143929	114634	113194	113204	110628	108435
"KLF_15"	130082	102366	102087	102112	100824	100049
"KLF_224"	135058	115546	115447	115457	114843	114543
"KLF_7"	133239	102049	101682	101859	100770	100073
"KLF_X1"	36757	27854	27817	27759	27301	27301
"KLF_2"	151674	121820	120407	120348	117492	115539
"KLF_10"	147783	119702	119354	119394	116355	105753
"KLF_207"	135796	112487	112374	112287	111262	111219
"KLF_46"	78410	60506	60009	60140	58598	58243
"KLF_77"	119870	98167	97364	97473	95996	94885
"KLF_17"	130915	101123	100772	100848	99581	98075
"KLF_217"	148596	127861	127719	127759	126881	125917
"KLF_39"	108470	87983	87924	87915	87318	86990
"KLF_44"	79939	63288	62597	62740	60670	60376
"KLF_16"	135473	89397	89044	88992	87798	87178
"KLF_233"	118742	100615	100353	100424	99713	99567
"KLF_101"	162793	135555	135034	135085	133472	132225
"KLF_213"	139016	117647	117564	117545	117047	116333
"KLF_232"	130178	109109	108874	108911	107979	107221
"KLF_230"	114736	98395	98267	98334	97503	96516
"KLF_74"	134808	103850	102692	102697	95925	84290
"KLF_38"	173700	136266	135878	135882	81972	81129
"KLF_extraction_Ctrl_3"	135042	102624	102442	102222	100123	100098
"KLF_80"	155903	108248	107431	107460	97867	93407
"KLF_231"	75008	62354	62183	62164	61569	60889
"KLF_45"	107240	83043	82023	82019	81284	80566
"KLF_102"	102358	87572	87451	87435	86934	86259
"KLF_113"	97226	82796	82595	82588	81853	80739
"KLF_20"	93211	72827	72694	72697	71803	71731
